StoreID,StoreName,Location,Manager,OpeningDate,ContactNumber
STORE1,Mammen-Bains,"Madurai, Gujarat",Vrishti Lall,2021-01-11,+913353299354
STORE2,Lanka PLC,"Udupi, Odisha",Reyansh Yohannan,2018-10-07,+912549221617
STORE3,Dasgupta and Sons,"Aizawl, Haryana",Upadhriti Iyer,2006-01-30,+911811637536
STORE4,Sunder-Baral,"Pallavaram, Jharkhand",Maanas Borah,2020-06-10,6977113202
STORE5,Loke-Rajagopalan,"Rourkela, Jharkhand",Dipta Deshpande,2018-07-10,08468304432
STORE6,"Tara, Salvi and Kant","Karawal Nagar, Assam",Aashi Batta,2012-12-07,+911903366863
STORE7,"Jani, Nayar and Swaminathan","Bahraich, Uttar Pradesh",Yagnesh Ghosh,2020-09-03,+913097410775
STORE8,Dave-Korpal,"Dehri, Goa",Dhriti Jayaraman,2018-12-06,04152406547
STORE9,Din-Dhar,"Siwan, Gujarat",Charita Subramanian,2016-09-05,+910009015460
STORE10,Aggarwal-Kala,"Kolkata, Rajasthan",Udant Gade,2015-09-25,+910549805951
